aliases,canonical
FATEC ITAPETININGA - PROF. ANTONIO BELIZANDRO BARBOSA REZENDE,FATEC ITAPETININGA - PROF. ANTONIO BELIZANDRO BARBOSA REZENDE
FATEC ITAPEVI,FATEC ITAPEVI
FATEC ITAPIRA,FATEC ITAPIRA - OGARI DE CASTRO PACHECO
FATEC ITAPIRA - OGARI DE CASTRO PACHECO,FATEC ITAPIRA - OGARI DE CASTRO PACHECO
FATEC ITAQUAQUECETUBA,FATEC ITAQUAQUECETUBA
FATEC ITAQUERA,FATEC ITAQUERA - PROF. MIGUEL REALE
FATEC ITAQUERA - PROF. MIGUEL REALE,FATEC ITAQUERA - PROF. MIGUEL REALE
FATEC ITATIBA,FATEC ITATIBA - MARIA EUNICE AMADEO DE ALMEIDA
FATEC ITATIBA - MARIA EUNICE AMADEO DE ALMEIDA,FATEC ITATIBA - MARIA EUNICE AMADEO DE ALMEIDA
FATEC ITU,FATEC ITU - DOM AMAURY CASTANHO
FATEC ITU - DOM AMAURY CASTANHO,FATEC ITU - DOM AMAURY CASTANHO
FATEC JABOTICABAL,FATEC JABOTICABAL - NILO DE STÉFANI
FATEC JABOTICABAL - NILO DE STÉFANI,FATEC JABOTICABAL - NILO DE STÉFANI
FATEC JACAREÍ,FATEC JACAREÍ - PROF. FRANCISCO DE MOURA
FATEC JACAREÍ - PROF. FRANCISCO DE MOURA,FATEC JACAREÍ - PROF. FRANCISCO DE MOURA
FATEC JACAREÍ- PROF. FRANCISCO DE MOURA,FATEC JACAREÍ - PROF. FRANCISCO DE MOURA
FATEC JAHU,FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO
FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO,FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO
FATEC JAHU - PREF. OCTAVIO CELSO PACHECO DE ALMEIDA PRADO,FATEC JAHU - OCTAVIO CELSO PACHECO DE ALMEIDA PRADO
FATEC JALES,FATEC JALES - PROF. JOSÉ CAMARGO
FATEC JALES - PROF. JOSÉ CAMARGO,FATEC JALES - PROF. JOSÉ CAMARGO
FATEC JUNDIAÍ,FATEC JUNDIAÍ - DEPUTADO ARY FOSSEN
FATEC JUNDIAÍ - DEPUTADO ARY FOSSEN,FATEC JUNDIAÍ - DEPUTADO ARY FOSSEN
FATEC LINS,FATEC LINS - PROF. ANTONIO SEABRA
FATEC LINS - PROF. ANTONIO SEABRA,FATEC LINS - PROF. ANTONIO SEABRA
FATEC MARÍLIA,FATEC MARÍLIA - ESTUDANTE RAFAEL ALMEIDA CAMARINHA
FATEC MARÍLIA - ESTUDANTE RAFAEL ALMEIDA CAMARINHA,FATEC MARÍLIA - ESTUDANTE RAFAEL ALMEIDA CAMARINHA
FATEC MATÃO,FATEC MATÃO
FATEC MATÃO - LUIZ MARCHESAN,FATEC MATÃO - LUIZ MARCHESAN
FATEC MAUÁ,FATEC MAUÁ
FATEC MOCOCA,FATEC MOCOCA - MÁRIO ROBERTSON DE SYLOS FILHO
FATEC MOCOCA - MÁRIO ROBERSON DE SYLOS,FATEC MOCOCA - MÁRIO ROBERTSON DE SYLOS FILHO
FATEC MOCOCA - MÁRIO ROBERTSON DE SYLOS FILHO,FATEC MOCOCA - MÁRIO ROBERTSON DE SYLOS FILHO
FATEC MOGI DAS CRUZES,FATEC MOGI DAS CRUZES
FATEC MOGI MIRIM,FATEC MOGI MIRIM - ARTHUR DE AZEVEDO
FATEC MOGI MIRIM - ARTHUR DE AZEVEDO,FATEC MOGI MIRIM - ARTHUR DE AZEVEDO
FATEC OLÍMPIA,FATEC OLÍMPIA
FATEC OSASCO,FATEC OSASCO - PREF. HIRANT SANAZAR
FATEC OSASCO - PREF. HIRANT SANAZAR,FATEC OSASCO - PREF. HIRANT SANAZAR
FATEC OSASCO - PREFEITO HIRANT SANAZAR,FATEC OSASCO - PREF. HIRANT SANAZAR
FATEC OURINHOS,FATEC OURINHOS
FATEC PAULÍNIA,FATEC PAULÍNIA
FATEC PINDAMONHANGABA,FATEC PINDAMONHANGABA - JOSÉ RENATO GUAYCURU SAN MARTIM
